 name         t90      fluence    fluence_error fluence_batse fluence_batse_error 
 GRB200928290    0.128 1.7771e-07    9.9677e-09    1.1045e-07          6.1809e-09 
 GRB201214672    0.448 9.5388e-08    1.3578e-08    5.2698e-08          6.1849e-09 
 GRB170708046    0.144 7.9242e-07    1.1866e-08    4.6872e-07          6.1874e-09 
 GRB160825799    6.144 2.0279e-06    1.1880e-08    9.9226e-07          6.1924e-09 
 GRB110212550    0.064 6.3493e-07    1.2257e-08    2.1314e-07          6.2275e-09 
 GRB231203831    1.152 2.8384e-08    1.1387e-08    1.7747e-08          6.2311e-09 
 GRB090227772    0.304 1.1095e-05    1.1791e-08    1.8133e-06          6.2395e-09 
 GRB200623752    0.704 7.2179e-07    1.9274e-08    2.4177e-07          6.2550e-09 
 GRB150628767    0.640 2.6488e-07    1.1506e-08    1.5831e-07          6.2569e-09 
 GRB240411073    3.520 1.7369e-06    1.1318e-08    6.9726e-07          6.2625e-09 
 GRB130127743    0.144 2.3203e-07    1.1280e-08    7.5705e-08          6.2721e-09 
 GRB200407265    3.072 6.6105e-07    1.2661e-08    3.2267e-07          6.2877e-09 
 GRB160709826    5.440 2.2817e-06    1.1337e-08    7.2827e-07          6.3218e-09 
 GRB090630311    2.880 1.0777e-06    1.2550e-08    5.4159e-07          6.3678e-09 
 GRB140526571    0.064 1.5784e-07    1.2786e-08    7.9979e-08          6.3781e-09 
 GRB180805543    0.960 3.6620e-07    1.2009e-08    2.1162e-07          6.3969e-09 
 GRB230822992    0.896 5.8054e-08    1.1878e-08    3.7473e-08          6.4011e-09 
 GRB240625314    0.152 8.1133e-07    1.1410e-08    4.8299e-07          6.4108e-09 
 GRB170714049    0.224 1.4758e-07    1.2298e-08    7.9548e-08          6.4573e-09 
 GRB090305052    1.856 1.9401e-06    1.3313e-08    7.7315e-07          6.4719e-09 
 GRB220728681    1.152 1.5890e-07    1.0653e-08    1.1757e-07          6.4848e-09 
 GRB160829334    0.512 3.3953e-07    1.1051e-08    1.8320e-07          6.4860e-09 
 GRB090908341   36.864 2.6038e-06    1.5904e-08    1.2482e-06          6.4937e-09 
 GRB201221591    0.032 2.2792e-07    1.2419e-08    1.3809e-07          6.4945e-09 
 GRB200509818    2.176 2.2157e-07    1.5101e-08    1.0981e-07          6.4955e-09 
 GRB170827818    0.832 4.7114e-07    1.4638e-08    2.2236e-07          6.5111e-09 
 GRB091224373    0.768 3.4396e-07    1.3860e-08    1.4075e-07          6.5198e-09 
 GRB100330856    5.120 6.1958e-07    1.2690e-08    3.0692e-07          6.5243e-09 
 GRB240109168    0.256 9.5160e-08    1.4078e-08    5.6778e-08          6.5282e-09 
 GRB200714661    3.328 1.6236e-07    1.7572e-08    7.9153e-08          6.5299e-09 
 GRB180906988    3.328 5.5168e-07    1.2171e-08    2.8366e-07          6.5414e-09 
 GRB150301045    0.416 1.8056e-07    1.2258e-08    9.5312e-08          6.5421e-09 
 GRB090206620    0.320 7.1522e-07    1.2181e-08    2.6144e-07          6.5548e-09 
 GRB150208929    0.128 2.5321e-08    1.1001e-08    1.7629e-08          6.5612e-09 
 GRB111117510    0.432 5.6389e-07    1.2828e-08    2.2057e-07          6.5637e-09 
 GRB120629565    0.704 5.1917e-08    1.2052e-08    3.2384e-08          6.5662e-09 
 GRB140328560    4.160 7.4671e-07    1.2466e-08    4.0523e-07          6.5726e-09 
 GRB200128153    0.576 4.2773e-07    9.5686e-09    2.2899e-07          6.5937e-09 
 GRB100301068    0.960 2.8365e-07    1.3531e-08    1.4114e-07          6.5978e-09 
 GRB241016467    0.832 3.1715e-07    1.2051e-08    7.2532e-08          6.6015e-09 
 GRB230204130    0.032 9.0831e-08    1.1403e-08    4.1878e-08          6.6023e-09 
 GRB200623138    0.096 6.3341e-08    1.1293e-08    4.1036e-08          6.6292e-09 
 GRB120212353    0.864 5.0869e-08    1.2231e-08    3.4692e-08          6.6359e-09 
 GRB190813520    0.192 4.9947e-08    1.2120e-08    3.0367e-08          6.6490e-09 
 GRB190606080    0.224 4.0181e-06    1.3400e-08    1.4418e-06          6.6572e-09 
 GRB150906944    0.320 4.3494e-07    1.2401e-08    1.8496e-07          6.6623e-09 
 GRB211031175    0.128 4.8999e-08    1.2092e-08    2.8082e-08          6.6702e-09 
 GRB210119121    0.048 1.8742e-07    1.3715e-08    1.4788e-07          6.6705e-09 
 GRB230414334    0.800 5.5773e-07    1.2698e-08    2.6517e-07          6.6937e-09 
 GRB221004622    1.536 1.5883e-07    1.1898e-08    8.6941e-08          6.7003e-09 
 GRB200126466    0.768 1.2830e-07    1.3141e-08    7.9965e-08          6.7210e-09 
 GRB111001804    0.384 1.9005e-07    1.2396e-08    6.2595e-08          6.7350e-09 
 GRB081115891    0.320 8.5633e-08    1.3113e-08    4.6307e-08          6.7400e-09 
 GRB180801276    0.320 5.1128e-07    1.2535e-08    1.6018e-07          6.7465e-09 
 GRB101204343    0.128 2.8175e-07    1.4922e-08    1.1729e-07          6.7779e-09 
 GRB190724031    0.080 3.6815e-07    1.1379e-08    1.1132e-07          6.8015e-09 
 GRB100922625    4.352 4.2462e-07    1.2161e-08    2.1804e-07          6.8080e-09 
 GRB231114388    0.384 1.5715e-07    1.2953e-08    9.4369e-08          6.8153e-09 
 GRB150326521    5.888 4.6905e-07    1.7297e-08    2.6138e-07          6.8234e-09 
 GRB090924625    0.352 5.5461e-07    2.9959e-08    1.7146e-07          6.8620e-09 
 GRB110409179    0.128 3.2835e-07    1.0647e-08    1.5460e-07          6.8668e-09 
 GRB240817057    1.728 6.1154e-07    1.1233e-08    1.7234e-07          6.8799e-09 
 GRB081209981    0.192 1.4655e-06    1.4879e-08    4.1737e-07          6.8877e-09 
 GRB230511945    0.192 8.9175e-08    1.4295e-08    3.9431e-08          6.8950e-09 
 GRB240617599    0.128 2.2742e-08    1.1826e-08    1.1691e-08          6.9118e-09 
 GRB241112076    0.640 1.5405e-07    1.3360e-08    7.9133e-08          6.9162e-09 
 GRB240810880    1.536 1.1072e-06    1.3685e-08    4.9097e-07          6.9277e-09 
 GRB170127634    1.728 3.0558e-07    1.2706e-08    1.4412e-07          6.9292e-09 
 GRB170325331    0.576 2.5747e-07    1.2379e-08    1.5920e-07          6.9471e-09 
 GRB240905357    5.952 7.4251e-06    1.2635e-08    4.6025e-06          6.9739e-09 
 GRB220418661    2.752 6.0154e-07    1.2607e-08    2.4508e-07          6.9999e-09 
 GRB170111815    3.072 5.9553e-07    1.2093e-08    3.7295e-07          7.0091e-09 
 GRB180225417    0.896 2.9542e-07    1.1796e-08    1.5640e-07          7.0183e-09 
 GRB090625234   14.336 1.3521e-06    1.2840e-08    8.3667e-07          7.0497e-09 
 GRB130204484    0.192 2.8086e-07    1.0940e-08    1.1787e-07          7.0501e-09 
 GRB130802730    0.064 3.2575e-07    1.5953e-08    1.2046e-07          7.0800e-09 
 GRB240910488    1.408 2.2429e-07    1.1944e-08    1.1950e-07          7.0804e-09 
 GRB191019469   11.264 9.2177e-07    1.6740e-08    5.9368e-07          7.0875e-09 
 GRB141020439    1.600 8.4713e-08    1.2723e-08    5.2163e-08          7.0934e-09 
 GRB240305928    0.320 4.8708e-07    1.3460e-08    2.0730e-07          7.0941e-09 
 GRB211224980    0.192 2.2677e-07    1.3192e-08    9.4107e-08          7.1003e-09 
 GRB210615982    1.856 1.4019e-07    1.3970e-08    7.2687e-08          7.1031e-09 
 GRB190728271    0.832 3.2273e-07    1.2530e-08    2.0804e-07          7.1254e-09 
 GRB161121186    0.128 2.5271e-08    1.2519e-08    1.3141e-08          7.1403e-09 
 GRB240125867    0.256 1.1899e-07    1.4065e-08    5.5515e-08          7.1529e-09 
 GRB180806665    8.448 4.0182e-07    1.2965e-08    2.2518e-07          7.1792e-09 
 GRB210919653    1.600 3.3071e-07    1.4253e-08    1.4855e-07          7.1824e-09 
 GRB230905656    0.288 1.6169e-07    1.3468e-08    9.5465e-08          7.2011e-09 
 GRB190720613    6.144 2.5587e-05    1.3938e-08    1.4601e-05          7.2106e-09 
 GRB220829610   20.480 9.3643e-06    1.3855e-08    5.1025e-06          7.2145e-09 
 GRB240715239    0.160 1.4955e-06    1.4371e-08    6.0724e-07          7.2155e-09 
 GRB181002617    1.664 6.8697e-07    1.6276e-08    3.7610e-07          7.2221e-09 
 GRB081226509    0.192 3.4448e-07    2.7133e-08    1.9304e-07          7.2545e-09 
