name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB130320560 340.992    1.619   2.3656e-05         1.9044e-07        25.3313               0.3397      27.5084             1.5005
GRB231224868   0.832    0.838   7.1503e-08         1.1695e-08         0.4715               0.0716       3.0041             0.6176
GRB201104001  52.480    7.428   4.8519e-06         4.2939e-08         6.1413               0.1536      12.6692             0.8309
GRB120711115  44.033    0.724   6.6507e-05         7.6882e-08        12.1873               0.2809      19.0531             1.6832
GRB190814837   9.984    3.620   5.9049e-07         3.1172e-08         0.6471               0.0900       1.2462             0.4081
GRB090927422   0.512    0.231   1.2367e-07         9.0099e-09         0.7279               0.2673       2.4984             1.0933
GRB180801492   7.424    1.145   6.2171e-07         1.3012e-08         1.0231               0.0843       1.5767             0.4373
GRB171212434  32.001    1.379   2.6479e-06         3.2088e-08         1.3416               0.0937       2.9239             0.5365
GRB230617926   2.560    1.494   7.6604e-08         8.8772e-09         0.2522               0.0626       0.8860             0.4610
GRB140616165   0.512    0.821   1.8470e-07         2.2422e-08         1.3136               0.1085       6.2925             1.0056
GRB210727410   1.088    0.231   5.3274e-07         1.2267e-08         2.2492               0.1505       3.9819             0.8786
GRB090606471   8.064    1.262   5.5962e-07         4.4279e-08         0.7374               0.2195       2.4827             1.1588
GRB230709735   0.192    0.072   1.2439e-06         1.5687e-08         4.7524               0.2540      22.6936             2.0748
GRB130505955  50.241    8.009   4.2498e-06         1.0923e-07         2.0381               0.1318       3.6758             0.7211
GRB200120962  12.800    2.919   4.6127e-06         7.0963e-08         4.5371               0.2445       7.7700             1.3117
GRB191111547 158.212    7.209   4.6780e-06         4.0056e-08         3.3653               0.1129       4.3972             0.4886
GRB230731986  10.496    3.566   6.7480e-07         3.0062e-08         0.6599               0.0936       1.4040             0.5466
GRB190828614  19.968    0.923   8.3407e-06         1.3547e-08         5.7359               0.1365       6.9175             0.5872
GRB171020813  19.200    1.950   1.0631e-06         1.8369e-08         0.7714               0.1090       1.5216             0.4778
GRB080717543  36.608    2.985   2.3711e-06         4.5117e-08         1.0531               0.2268       2.1388             1.0308
GRB100429999  25.024    6.582   1.6913e-06         2.3938e-08         0.9449               0.1609       2.1049             0.6592
GRB180630335  48.896    5.724   1.6817e-06         1.8550e-08         0.9374               0.0891       1.6728             0.4471
GRB120107384  23.040    0.143   3.8959e-06         2.4985e-08         2.7369               0.1125       4.2045             0.5458
GRB080905570  26.624    2.896   2.2664e-06         3.0501e-08         1.1876               0.2655       1.8051             1.2203
GRB131204937  29.952    1.056   9.4665e-07         1.2237e-08         0.6904               0.0867       1.6558             0.4689
GRB130327350  31.233    0.724   2.7462e-05         4.3317e-08         6.8676               0.1821       9.1079             0.8223
GRB220730659   0.160    0.288   4.0691e-07         1.5552e-08         1.9336               0.1644      14.9314             1.4665
GRB230704821  21.760    3.238   1.0963e-06         2.2664e-08         0.6871               0.0792       1.3670             0.4385
GRB120331055  16.384   10.367   2.5282e-07         2.6283e-08         0.5216               0.1097       6.0476             0.8749
GRB090725838  13.760    1.229   1.2904e-06         2.5795e-08         1.0287               0.2694       1.7625             1.1111
GRB140322424  10.496    2.111   8.4306e-07         1.4992e-08         1.0260               0.0969       1.5928             0.4358
GRB210520797  56.065    3.083   1.4730e-06         2.2511e-08         1.0055               0.0795       1.9489             0.5225
GRB210204777  32.000    5.030   1.3532e-06         2.3693e-08         0.8914               0.0919       1.8772             0.4844
GRB150902733  13.568    0.362   3.8903e-05         2.6567e-08        34.2001               0.3125      45.2050             1.4200
GRB170625692  22.784    8.798   1.1208e-06         3.8290e-08         0.6498               0.0821       1.4878             0.4170
GRB180804931  18.432    4.672   4.6491e-06         4.4065e-08         4.5197               0.2379       6.7483             1.0903
GRB140110411   0.768    0.345   2.1638e-08         2.8885e-09         0.1620               0.0481       0.7450             0.2583
GRB200623752   0.704    0.453   2.4177e-07         6.2550e-09         1.0622               0.0812       4.5093             0.6216
GRB210427206  18.688    1.145   4.9803e-06         6.1670e-08         3.6289               0.2212       6.0097             1.3859
GRB130218261  37.121    3.665   5.1243e-06         4.8935e-08         2.2512               0.1671       4.1691             0.8862
GRB130420422  27.328    5.101   2.0228e-06         2.3494e-08         2.2261               0.1468       3.7301             0.8538
GRB081226044   0.832    1.032   2.0741e-07         1.4618e-08         1.0389               0.1313       3.3179             0.8274
GRB171024977  35.072    5.838   4.8946e-07         1.8358e-08         0.3588               0.0703       0.9428             0.3551
GRB180804765  21.504    3.415   1.7143e-06         5.4745e-08         1.2918               0.2244       3.2998             0.9621
GRB090411838  21.501    3.237   3.8010e-06         6.3676e-08         2.6465               0.2232       4.4461             0.8839
GRB221021388  68.353    2.721   7.2137e-06         3.5877e-08         3.8365               0.1794       5.5437             1.0276
GRB240107803  60.161    4.404   3.8072e-06         1.2660e-07         1.5765               0.1453       3.2873             0.6463
GRB221201517  28.929    0.810   1.0941e-05         1.4738e-08        10.4819               0.2838      14.3347             1.2435
GRB231203293  36.608    2.318   2.4937e-06         2.8072e-08         2.1914               0.1054       3.1872             0.4852
GRB160716144  28.928    1.280   1.6468e-06         1.7638e-08         0.8443               0.0763       1.7409             0.4261
GRB240222369   3.776    0.466   2.6312e-07         1.7212e-08         1.0839               0.1584       2.9514             0.8492
GRB210126417  61.441    6.734   2.4171e-06         5.2012e-08         1.4350               0.0910       2.2388             0.4226
GRB090719063  11.392    0.466   2.6892e-05         8.1533e-08        21.1715               0.3933      23.3736             1.6086
GRB180906759  13.309    1.055   2.0111e-06         9.9337e-09         2.8663               0.1081       3.6909             0.5052
GRB210925056   4.544    0.529   3.7619e-06         1.5066e-08         8.6357               0.2286      12.8174             1.0999
GRB210807955 125.442    4.238   1.7539e-05         1.2545e-07         3.5131               0.1605       4.5633             0.6983
GRB100605774   8.192    2.862   4.3444e-07         1.1907e-08         0.5143               0.0608       1.0825             0.3920
GRB110316139   2.944    2.199   6.4351e-08         1.8428e-08         0.3651               0.0561       1.8348             0.3345
GRB231123809  52.481    2.862   1.2363e-06         2.7340e-08         0.7598               0.1357       2.0177             0.6275
GRB191220589  27.905    1.056   1.1228e-05         2.4309e-08         4.4210               0.2188       6.1986             1.0828
GRB200130417  11.293    0.383   7.1628e-06         7.6506e-09        15.5852               0.1958      20.8273             0.8890
GRB221103285 140.290    1.448   7.3008e-06         2.7466e-08         1.6260               0.0924       2.2398             0.3900
GRB081006604   6.400    0.923   3.7668e-07         9.9497e-09         0.4650               0.0730       3.0622             0.6229
GRB090524346  54.337    0.870   9.4884e-06         3.7232e-08         5.7709               0.2162       6.4315             0.8454
GRB150404733   4.864    1.950   3.3839e-07         1.3748e-08         1.1061               0.1219       1.9209             0.5429
GRB100719311   1.600    0.854   2.0705e-07         1.9739e-08         0.9548               0.1021       2.0187             0.4377
GRB090819607   0.192    0.202   1.3587e-07         8.2878e-09         0.6547               0.1255       4.1064             0.6982
GRB180703876  20.736    1.557   7.8096e-06         2.3435e-08         5.9912               0.1483       7.2157             0.6623
GRB131118958  85.249    4.382   3.6097e-05         1.9433e-07         6.0275               0.3046       9.9360             1.5438
GRB170323775  35.328    5.400   2.2060e-06         1.3922e-08         1.0160               0.0942       1.9713             0.4907
GRB181128751  17.664    1.619   7.0536e-07         2.2869e-08         0.4794               0.0608       1.5024             0.4292
GRB181208188  62.465    4.167   4.3271e-06         1.5400e-08         0.8926               0.0775       1.5941             0.3221
GRB190916590  37.376    2.064   1.5886e-06         3.0480e-08         0.4762               0.0681       0.8114             0.2844
GRB111107035  12.032    0.923   5.0023e-07         1.9786e-08         0.5630               0.0936       1.2816             0.5744
GRB190420981   1.472    0.551   3.9923e-07         1.9809e-08         1.4735               0.1036       2.9797             0.4374
GRB151003729  44.032    5.043   7.2644e-07         2.9302e-08         0.7689               0.1320       1.9527             0.6337
GRB231118720   5.760    0.572   3.9879e-06         2.7273e-08         7.2783               0.2488      14.5807             1.3741
